nome,sobrenome,email,cargo_id,aeroporto_base_id,data_contratacao,salario,ativo,numero_identificacao
Stella,da Conceição,stella.da conceição.func114@aeroporto.com.br,921,4944,2025-03-25,18213.01,True,FUNC-000115
Emanuella,Guerra,emanuella.guerra.func115@aeroporto.com.br,879,2862,2013-08-10,14432.82,True,FUNC-000116
Cauê,da Rosa,cauê.da rosa.func116@aeroporto.com.br,325,3101,2015-02-21,27030.32,True,FUNC-000117
Mirella,Pacheco,mirella.pacheco.func117@aeroporto.com.br,621,2073,2022-04-25,6996.11,True,FUNC-000118
Cecilia,Aragão,cecilia.aragão.func118@aeroporto.com.br,583,194,2012-05-21,21507.09,True,FUNC-000119
Bruna,da Mota,bruna.da mota.func119@aeroporto.com.br,634,3035,2012-08-02,21177.54,True,FUNC-000120
Pedro Lucas,Azevedo,pedro lucas.azevedo.func120@aeroporto.com.br,258,2504,2018-01-13,29151.43,True,FUNC-000121
Anna Liz,Moura,anna liz.moura.func121@aeroporto.com.br,64,2947,2023-08-01,16539.68,True,FUNC-000122
Maria Fernanda,Viana,maria fernanda.viana.func122@aeroporto.com.br,357,572,2013-06-09,22512.65,True,FUNC-000123
Kevin,Aparecida,kevin.aparecida.func123@aeroporto.com.br,115,4028,2017-06-09,5547.75,True,FUNC-000124
Cauê,Camargo,cauê.camargo.func124@aeroporto.com.br,141,1872,2013-08-20,34138.49,True,FUNC-000125
Juan,Ribeiro,juan.ribeiro.func125@aeroporto.com.br,686,166,2014-11-22,3784.67,True,FUNC-000126
João Gabriel,Mendes,joão gabriel.mendes.func126@aeroporto.com.br,128,2990,2012-10-15,25233.58,True,FUNC-000127
Rafael,Cassiano,rafael.cassiano.func127@aeroporto.com.br,675,4452,2011-10-21,28945.3,True,FUNC-000128
Davi,Teixeira,davi.teixeira.func128@aeroporto.com.br,49,1384,2016-09-07,6566.55,True,FUNC-000129
Hadassa,Gomes,hadassa.gomes.func129@aeroporto.com.br,905,4346,2023-02-12,23671.43,True,FUNC-000130
Isaac,Carvalho,isaac.carvalho.func130@aeroporto.com.br,920,1057,2021-12-09,18258.21,True,FUNC-000131
Isadora,da Cruz,isadora.da cruz.func131@aeroporto.com.br,233,2195,2012-09-08,19056.68,True,FUNC-000132
Diego,Fonseca,diego.fonseca.func132@aeroporto.com.br,64,1163,2018-02-14,14924.2,True,FUNC-000133
Maria Laura,Brito,maria laura.brito.func133@aeroporto.com.br,575,601,2023-08-14,32906.96,True,FUNC-000134
Maria Julia,Sampaio,maria julia.sampaio.func134@aeroporto.com.br,607,1284,2012-08-15,33467.15,True,FUNC-000135
Kamilly,Cardoso,kamilly.cardoso.func135@aeroporto.com.br,29,3900,2018-07-11,18506.54,True,FUNC-000136
Melina,Novais,melina.novais.func136@aeroporto.com.br,335,1736,2013-08-20,20507.69,True,FUNC-000137
Emanuel,da Mata,emanuel.da mata.func137@aeroporto.com.br,242,3438,2017-06-13,12538.07,True,FUNC-000138
Helena,Martins,helena.martins.func138@aeroporto.com.br,829,2573,2023-12-05,32895.26,True,FUNC-000139
Alexia,Silva,alexia.silva.func139@aeroporto.com.br,637,3501,2019-02-05,17916.72,True,FUNC-000140
Beatriz,Andrade,beatriz.andrade.func140@aeroporto.com.br,20,4345,2014-04-16,22775.5,True,FUNC-000141
Jade,Campos,jade.campos.func141@aeroporto.com.br,283,3878,2022-08-22,28983.4,True,FUNC-000142
Elisa,Moreira,elisa.moreira.func142@aeroporto.com.br,309,1170,2018-07-07,6632.58,True,FUNC-000143
Henrique,Novaes,henrique.novaes.func143@aeroporto.com.br,774,1795,2022-01-28,27349.99,True,FUNC-000144
Gabriela,Barbosa,gabriela.barbosa.func144@aeroporto.com.br,326,2721,2023-12-17,3418.48,True,FUNC-000145
Rhavi,das Neves,rhavi.das neves.func145@aeroporto.com.br,49,1341,2026-05-02,8644.91,True,FUNC-000146
Manuela,Azevedo,manuela.azevedo.func146@aeroporto.com.br,463,2900,2019-11-19,34690.43,False,FUNC-000147
Isadora,Pires,isadora.pires.func147@aeroporto.com.br,265,4943,2013-01-02,6155.41,True,FUNC-000148
Mathias,Machado,mathias.machado.func148@aeroporto.com.br,297,1214,2021-03-17,16450.07,True,FUNC-000149
Ágatha,Nogueira,ágatha.nogueira.func149@aeroporto.com.br,545,3796,2024-09-13,14126.08,True,FUNC-000150
Kamilly,Vieira,kamilly.vieira.func150@aeroporto.com.br,421,2828,2019-04-29,20913.33,True,FUNC-000151
Ana Beatriz,da Cunha,ana beatriz.da cunha.func151@aeroporto.com.br,745,3303,2024-12-13,12377.64,True,FUNC-000152
Eduarda,Peixoto,eduarda.peixoto.func152@aeroporto.com.br,169,2444,2019-07-25,28301.09,True,FUNC-000153
Pedro Henrique,Macedo,pedro henrique.macedo.func153@aeroporto.com.br,71,3725,2020-11-15,29254.74,True,FUNC-000154
Letícia,Ribeiro,letícia.ribeiro.func154@aeroporto.com.br,225,2759,2014-04-11,27453.23,True,FUNC-000155
Jade,Fogaça,jade.fogaça.func155@aeroporto.com.br,44,2427,2023-03-02,4446.17,True,FUNC-000156
Isaque,Campos,isaque.campos.func156@aeroporto.com.br,244,4802,2019-07-24,29129.43,True,FUNC-000157
Heloisa,Correia,heloisa.correia.func157@aeroporto.com.br,172,1979,2021-01-31,19781.16,True,FUNC-000158
Enzo,Azevedo,enzo.azevedo.func158@aeroporto.com.br,413,3548,2019-09-09,27594.53,True,FUNC-000159
Luiz Felipe,Ramos,luiz felipe.ramos.func159@aeroporto.com.br,162,646,2015-02-16,28727.69,True,FUNC-000160
Valentina,Montenegro,valentina.montenegro.func160@aeroporto.com.br,635,4785,2020-01-26,22994.7,True,FUNC-000161
Ravi Lucca,da Mota,ravi lucca.da mota.func161@aeroporto.com.br,839,2154,2011-09-21,33137.3,True,FUNC-000162
Luiz Otávio,Ribeiro,luiz otávio.ribeiro.func162@aeroporto.com.br,767,4561,2022-01-28,11017.52,True,FUNC-000163
Esther,Montenegro,esther.montenegro.func163@aeroporto.com.br,770,4871,2017-12-27,28509.68,False,FUNC-000164
Luan,Jesus,luan.jesus.func164@aeroporto.com.br,755,3319,2015-01-05,14291.28,True,FUNC-000165
Sophia,Alves,sophia.alves.func165@aeroporto.com.br,932,3443,2020-03-14,5124.07,True,FUNC-000166
Gabrielly,Pereira,gabrielly.pereira.func166@aeroporto.com.br,100,2451,2014-03-19,9391.81,False,FUNC-000167
Maria Alice,da Costa,maria alice.da costa.func167@aeroporto.com.br,163,4122,2013-08-05,26427.2,True,FUNC-000168
Ian,Albuquerque,ian.albuquerque.func168@aeroporto.com.br,47,3147,2022-12-10,22919.52,True,FUNC-000169
Sara,Marques,sara.marques.func169@aeroporto.com.br,423,1357,2015-06-22,24950.18,True,FUNC-000170
Maria Júlia,Machado,maria júlia.machado.func170@aeroporto.com.br,903,882,2024-10-24,6808.11,True,FUNC-000171
Ana Cecília,Cavalcanti,ana cecília.cavalcanti.func171@aeroporto.com.br,550,2533,2022-05-05,9520.93,True,FUNC-000172
Ana Beatriz,das Neves,ana beatriz.das neves.func172@aeroporto.com.br,534,4278,2024-09-20,8090.75,True,FUNC-000173
Samuel,Dias,samuel.dias.func173@aeroporto.com.br,115,2252,2026-05-17,32172.44,True,FUNC-000174
Letícia,da Rosa,letícia.da rosa.func174@aeroporto.com.br,107,1879,2020-03-10,16343.05,True,FUNC-000175
André,Mendes,andré.mendes.func175@aeroporto.com.br,519,3694,2019-12-22,21701.1,True,FUNC-000176
Thomas,Araújo,thomas.araújo.func176@aeroporto.com.br,371,2508,2018-02-13,16352.67,True,FUNC-000177
João,Macedo,joão.macedo.func177@aeroporto.com.br,507,2010,2021-03-11,19684.34,True,FUNC-000178
Pedro Lucas,Aparecida,pedro lucas.aparecida.func178@aeroporto.com.br,712,728,2025-07-13,15657.73,True,FUNC-000179
Bárbara,Martins,bárbara.martins.func179@aeroporto.com.br,506,2510,2021-07-28,7791.55,True,FUNC-000180
Heloisa,das Neves,heloisa.das neves.func180@aeroporto.com.br,379,2696,2015-05-17,34222.24,True,FUNC-000181
Ísis,Novaes,ísis.novaes.func181@aeroporto.com.br,390,794,2019-01-19,7503.11,True,FUNC-000182
Matheus,Costela,matheus.costela.func182@aeroporto.com.br,885,2385,2016-04-06,30715.75,True,FUNC-000183
Fernanda,Castro,fernanda.castro.func183@aeroporto.com.br,364,4127,2014-03-16,2734.11,True,FUNC-000184
Alice,Santos,alice.santos.func184@aeroporto.com.br,561,1268,2018-04-05,6071.57,True,FUNC-000185
Alana,da Mata,alana.da mata.func185@aeroporto.com.br,113,1554,2013-07-22,30555.05,True,FUNC-000186
Stella,Marques,stella.marques.func186@aeroporto.com.br,163,3156,2024-06-29,29478.82,True,FUNC-000187
Lucas,Cavalcante,lucas.cavalcante.func187@aeroporto.com.br,361,845,2025-07-02,13324.81,True,FUNC-000188
Pedro Miguel,Brito,pedro miguel.brito.func188@aeroporto.com.br,929,2373,2023-11-04,9015.58,True,FUNC-000189
Marcos Vinicius,Abreu,marcos vinicius.abreu.func189@aeroporto.com.br,267,4407,2025-11-25,26620.59,False,FUNC-000190
Yuri,Abreu,yuri.abreu.func190@aeroporto.com.br,721,4095,2011-07-10,16816.46,False,FUNC-000191
Bruna,Azevedo,bruna.azevedo.func191@aeroporto.com.br,37,3311,2014-03-10,22420.82,True,FUNC-000192
Valentim,Moura,valentim.moura.func192@aeroporto.com.br,280,1843,2018-06-28,12077.84,True,FUNC-000193
Marcos Vinicius,Farias,marcos vinicius.farias.func193@aeroporto.com.br,90,4027,2024-11-30,21134.73,True,FUNC-000194
Asafe,da Rosa,asafe.da rosa.func194@aeroporto.com.br,583,3366,2021-10-03,19874.33,True,FUNC-000195
Elisa,Costa,elisa.costa.func195@aeroporto.com.br,137,4634,2018-10-30,4560.68,True,FUNC-000196
Allana,Aragão,allana.aragão.func196@aeroporto.com.br,751,4290,2015-06-01,33506.36,True,FUNC-000197
Clarice,Castro,clarice.castro.func197@aeroporto.com.br,862,3621,2018-11-21,31991.91,True,FUNC-000198
Breno,Cunha,breno.cunha.func198@aeroporto.com.br,154,3782,2022-11-14,17670.83,True,FUNC-000199
Lucca,Abreu,lucca.abreu.func199@aeroporto.com.br,400,2379,2014-10-26,33561.27,True,FUNC-000200
Larissa,Pires,larissa.pires.func200@aeroporto.com.br,649,4737,2024-01-07,9409.32,True,FUNC-000201
Eduardo,Câmara,eduardo.câmara.func201@aeroporto.com.br,242,2527,2017-11-25,22597.08,True,FUNC-000202
João Lucas,Guerra,joão lucas.guerra.func202@aeroporto.com.br,433,4143,2015-03-13,34606.33,True,FUNC-000203
Vitória,da Costa,vitória.da costa.func203@aeroporto.com.br,148,1296,2024-06-24,10821.87,True,FUNC-000204
Milena,da Mota,milena.da mota.func204@aeroporto.com.br,981,4587,2023-03-12,24702.53,True,FUNC-000205
Marcelo,da Rocha,marcelo.da rocha.func205@aeroporto.com.br,869,1800,2020-09-06,7120.18,True,FUNC-000206
Enzo,Cassiano,enzo.cassiano.func206@aeroporto.com.br,145,3185,2012-06-10,13463.51,True,FUNC-000207
Alexandre,Novais,alexandre.novais.func207@aeroporto.com.br,541,2511,2021-09-19,3524.85,True,FUNC-000208
Clara,da Mata,clara.da mata.func208@aeroporto.com.br,439,2321,2012-12-01,18345.7,True,FUNC-000209
Pietro,Freitas,pietro.freitas.func209@aeroporto.com.br,434,2810,2026-04-07,21882.1,True,FUNC-000210
João Miguel,Jesus,joão miguel.jesus.func210@aeroporto.com.br,585,1721,2013-07-24,4483.78,True,FUNC-000211
Lorenzo,Moraes,lorenzo.moraes.func211@aeroporto.com.br,908,4948,2021-03-24,19528.96,True,FUNC-000212
Nina,Borges,nina.borges.func212@aeroporto.com.br,345,4591,2011-09-19,26575.47,True,FUNC-000213
Ágatha,Fogaça,ágatha.fogaça.func213@aeroporto.com.br,449,985,2012-02-22,30326.3,True,FUNC-000214
Bernardo,Andrade,bernardo.andrade.func214@aeroporto.com.br,118,896,2023-11-19,34220.31,True,FUNC-000215
Gael Henrique,Siqueira,gael henrique.siqueira.func215@aeroporto.com.br,286,4924,2021-08-19,24980.35,True,FUNC-000216
Mariah,Gonçalves,mariah.gonçalves.func216@aeroporto.com.br,233,3512,2017-02-15,13097.03,True,FUNC-000217
Maria Helena,Peixoto,maria helena.peixoto.func217@aeroporto.com.br,751,289,2016-06-19,19127.75,True,FUNC-000218
Isaac,Aragão,isaac.aragão.func218@aeroporto.com.br,380,2045,2024-10-16,10671.31,True,FUNC-000219
Emanuella,Andrade,emanuella.andrade.func219@aeroporto.com.br,33,853,2014-08-14,15304.41,True,FUNC-000220
Guilherme,Pastor,guilherme.pastor.func220@aeroporto.com.br,47,3827,2019-10-25,34094.59,True,FUNC-000221
Enzo,Vargas,enzo.vargas.func221@aeroporto.com.br,586,1612,2012-10-23,4870.45,True,FUNC-000222
Igor,Souza,igor.souza.func222@aeroporto.com.br,193,3566,2019-03-08,12981.7,True,FUNC-000223
Anthony Gabriel,Nascimento,anthony gabriel.nascimento.func223@aeroporto.com.br,974,2819,2019-09-22,26163.19,True,FUNC-000224
João Miguel,Cassiano,joão miguel.cassiano.func224@aeroporto.com.br,886,4329,2025-11-11,18719.53,True,FUNC-000225
Ravi Lucca,Moraes,ravi lucca.moraes.func225@aeroporto.com.br,685,55,2017-01-27,9462.97,True,FUNC-000226
Brenda,da Rocha,brenda.da rocha.func226@aeroporto.com.br,161,1333,2025-08-21,24460.77,True,FUNC-000227
Maya,Jesus,maya.jesus.func227@aeroporto.com.br,905,4702,2022-07-31,26739.46,True,FUNC-000228
Natália,da Luz,natália.da luz.func228@aeroporto.com.br,155,4425,2019-04-25,31016.46,True,FUNC-000229
Gabrielly,Mendes,gabrielly.mendes.func229@aeroporto.com.br,375,23,2016-09-29,6174.07,True,FUNC-000230
Benício,Sales,benício.sales.func230@aeroporto.com.br,351,350,2022-04-02,31636.37,True,FUNC-000231
Hellena,Costa,hellena.costa.func231@aeroporto.com.br,276,2997,2016-03-07,33910.42,True,FUNC-000232
Thiago,Martins,thiago.martins.func232@aeroporto.com.br,209,3295,2011-07-23,8229.21,True,FUNC-000233
Yago,da Paz,yago.da paz.func233@aeroporto.com.br,860,1369,2016-06-30,20752.55,True,FUNC-000234
