nome,sobrenome,email,telefone,data_nascimento,numero_passaporte,nacionalidade_id,programa_fidelidade,milhas_acumuladas
Ravi Lucca,Novais,ravilucca.novais42@outlook.com.br,61 8339-2389,1986-01-28,WM171423,688,ASIA_MILES,451781
Sabrina,Gomes,sabrina.gomes43@yahoo.com.br,11 4686 2966,1950-12-23,BR159858,397,MILES_AND_GO,331395
Erick,Araújo,erick.araújo44@uol.com.br,71 5748 0843,1964-12-11,JF845816,351,EXECUTIVE_CLUB,248414
Mariane,Rezende,mariane.rezende45@hotmail.com,(041) 9262 7350,1988-06-19,TP560212,167,MILEAGE_PLUS,94136
Isabelly,Andrade,isabelly.andrade46@gmail.com,+55 11 2664 6096,1990-01-29,KU902915,502,MILEAGE_PLUS,81415
Dom,da Paz,dom.dapaz47@gmail.com,+55 21 0091 6659,1978-12-23,ES624016,514,TUDO_AZUL,490128
Ayla,das Neves,ayla.dasneves48@terra.com.br,(041) 3001 7846,2004-07-29,IQ735499,834,LATAM_PASS,288443
José Pedro,Rezende,josépedro.rezende49@live.com,(031) 2052 2589,1989-11-27,EJ438827,966,AADVANTAGE,119103
Natália,Marques,natália.marques50@uol.com.br,11 3216-6569,1944-04-07,WY565526,176,SKYWARDS,405247
Heitor,Aparecida,heitor.aparecida51@live.com,61 6117-1340,1944-06-11,EB158217,624,TUDO_AZUL,358828
Juan,Fogaça,juan.fogaça52@gmail.com,+55 (031) 6422 7643,2005-02-06,WT728145,932,MILEAGE_PLUS,331542
Ana Luiza,Oliveira,analuiza.oliveira53@bol.com.br,81 5265 0534,1992-04-30,UV736595,354,TUDO_AZUL,282156
Melina,Mendonça,melina.mendonça54@bol.com.br,+55 21 6028 5953,1945-10-31,AP139207,495,,347721
Ísis,Nascimento,ísis.nascimento55@live.com,11 9875 9204,1963-10-15,OC645970,537,LATAM_PASS,178621
Davi Miguel,Rocha,davimiguel.rocha56@terra.com.br,(061) 2823 0164,2000-05-31,QK669711,726,,372312
Ravi,Almeida,ravi.almeida57@uol.com.br,+55 84 9774 4433,1983-02-06,FE582181,602,,108008
João Vitor,Pastor,joãovitor.pastor58@bol.com.br,(051) 8674-0477,1963-11-26,LM250090,991,AADVANTAGE,187694
José Pedro,da Luz,josépedro.daluz59@outlook.com.br,+55 84 9728-3419,1989-05-17,SC541749,340,SKYWARDS,100394
Antônio,Jesus,antônio.jesus60@live.com,+55 11 0099 7844,1983-02-22,IT866777,914,MILEAGE_PLUS,242447
Luiz Felipe,Pimenta,luizfelipe.pimenta61@icloud.com,0800 931 6421,1951-08-27,BT969807,678,FLYING_BLUE,120177
José Miguel,Montenegro,josémiguel.montenegro62@yahoo.com.br,11 8597 0248,1969-04-02,QT315408,648,ASIA_MILES,49922
Diego,Abreu,diego.abreu63@terra.com.br,21 7999 1584,1984-03-12,VC900659,963,TUDO_AZUL,422256
Raul,da Luz,raul.daluz64@terra.com.br,41 5123 4344,2001-02-19,QC208870,20,LATAM_PASS,293762
Daniel,Silva,daniel.silva65@live.com,+55 (041) 8063 1395,1987-07-01,ZB951452,89,MILES_AND_GO,444532
Ana,da Costa,ana.dacosta66@terra.com.br,(041) 8459-0731,2003-11-28,VQ772696,664,SMILES,189817
Leonardo,Moreira,leonardo.moreira67@yahoo.com.br,+55 41 1264 2181,1945-05-30,UE116371,426,MILES_AND_GO,178251
Antonella,da Cunha,antonella.dacunha68@bol.com.br,11 8893-7707,1992-09-10,PE791997,945,SKYWARDS,129759
Danilo,Freitas,danilo.freitas69@gmail.com,+55 (041) 9506 2632,1970-08-19,JI132969,260,,281527
Lívia,Guerra,lívia.guerra70@yahoo.com.br,+55 61 3265-7207,2003-10-27,SA286983,915,LATAM_PASS,236017
Sabrina,Aragão,sabrina.aragão71@bol.com.br,(084) 0789-3798,1990-09-09,ZO284824,62,FLYING_BLUE,148034
Melina,Monteiro,melina.monteiro72@terra.com.br,+55 (071) 9996-3691,1951-07-09,JP236811,877,,387110
Rafaela,da Rosa,rafaela.darosa73@terra.com.br,+55 81 1983-8579,1959-04-12,EP556168,672,SKYWARDS,129932
Leandro,Moura,leandro.moura74@yahoo.com.br,+55 (011) 9016-5159,1967-08-17,SC216828,484,TUDO_AZUL,87193
Ana Sophia,Cavalcante,anasophia.cavalcante75@live.com,(011) 7871 5533,2003-08-10,RH903931,768,FLYING_BLUE,170974
Nicolas,Barbosa,nicolas.barbosa76@live.com,+55 31 1347-5619,1979-06-29,DS660270,716,,367837
Lavínia,Souza,lavínia.souza77@hotmail.com,(061) 6502-1000,1998-11-25,EU938397,925,,492239
Luigi,Monteiro,luigi.monteiro78@icloud.com,(041) 9958 7005,1969-04-14,UQ898837,462,SMILES,404915
Isaque,Porto,isaque.porto79@yahoo.com.br,(061) 3806 3190,2004-07-17,IQ443787,613,AADVANTAGE,318389
Bianca,Cunha,bianca.cunha80@live.com,51 9328 7927,1997-03-22,GQ691509,510,EXECUTIVE_CLUB,249889
Allana,Rocha,allana.rocha81@outlook.com.br,+55 (061) 2689-7531,1993-02-20,EZ937786,385,LATAM_PASS,318972
Eduardo,Souza,eduardo.souza82@terra.com.br,+55 71 3872-0757,1951-07-20,ZN708342,948,FLYING_BLUE,388762
Matheus,Siqueira,matheus.siqueira83@hotmail.com,(031) 4941 9964,1961-07-20,CX518837,542,FLYING_BLUE,368439
Ana Vitória,Rocha,anavitória.rocha84@outlook.com.br,+55 71 3840-9277,1952-05-20,PL377835,974,,438970
Dom,Fogaça,dom.fogaça85@live.com,+55 31 6850-7051,1998-07-08,XD189917,529,SKYWARDS,392095
Vitória,Cassiano,vitória.cassiano86@terra.com.br,+55 71 0318 6720,1946-06-15,ZP515607,172,ASIA_MILES,232069
Maria Liz,Fogaça,marializ.fogaça87@hotmail.com,+55 84 5661-9667,1959-01-22,UI700858,858,SKYWARDS,327600
Fernanda,Vieira,fernanda.vieira88@gmail.com,+55 31 5043 4010,2006-05-03,OX740139,96,MILEAGE_PLUS,377776
Léo,Gonçalves,léo.gonçalves89@terra.com.br,(051) 6475-6657,1963-09-15,DP938166,82,,419663
Matheus,Silveira,matheus.silveira90@yahoo.com.br,(081) 7410-5068,1980-06-06,AF833871,947,FLYING_BLUE,225313
Aylla,Pimenta,aylla.pimenta91@gmail.com,+55 (021) 3309-4621,1994-05-03,ZU357597,926,,7827
Ana Lívia,Sampaio,analívia.sampaio92@live.com,+55 (031) 6165 3730,1983-09-25,SZ152740,115,,408622
Aurora,Costela,aurora.costela93@bol.com.br,71 9078-1629,1951-08-23,UY476202,500,MILES_AND_GO,382961
Nathan,Araújo,nathan.araújo94@outlook.com.br,11 0710 6616,1948-01-02,AJ476007,152,MILES_AND_GO,476021
Cauê,Câmara,cauê.câmara95@outlook.com.br,(051) 0590-4117,1998-01-31,CS204858,206,SKYWARDS,347325
Maria Isis,Macedo,mariaisis.macedo96@outlook.com.br,+55 (081) 1994-6709,1986-05-03,GX610616,322,FLYING_BLUE,152021
Hellena,Rocha,hellena.rocha97@gmail.com,(061) 4961-2298,1977-10-25,NP970270,385,MILEAGE_PLUS,167186
Pedro Lucas,Almeida,pedrolucas.almeida98@icloud.com,(084) 8847-7988,1985-12-25,ZJ252938,63,ASIA_MILES,280384
Mirella,Cassiano,mirella.cassiano99@bol.com.br,+55 11 7596-8686,1993-05-05,MM510732,825,SKYWARDS,180417
Luiz Gustavo,Machado,luizgustavo.machado100@bol.com.br,21 2300-9715,2003-01-25,BO137965,507,MILES_AND_GO,59420
Théo,Mendonça,théo.mendonça101@terra.com.br,11 0133 6721,1980-08-06,QC421516,275,,85395
Davi Lucca,Duarte,davilucca.duarte102@outlook.com.br,41 1408-2824,1970-10-11,CA266658,689,SMILES,308647
Jade,das Neves,jade.dasneves103@hotmail.com,+55 41 7165-0942,1984-01-08,XB761194,93,MILEAGE_PLUS,248128
Pedro,Ribeiro,pedro.ribeiro104@hotmail.com,0300 637 8131,1965-11-07,JJ319871,390,,46941
Davi Lucas,Fonseca,davilucas.fonseca105@hotmail.com,+55 11 3690 0479,1975-04-23,TH440902,204,EXECUTIVE_CLUB,169030
Calebe,da Rosa,calebe.darosa106@outlook.com.br,(041) 4940 5815,1990-05-07,QY233510,303,SMILES,225885
Gael Henrique,Pereira,gaelhenrique.pereira107@uol.com.br,+55 61 2789-1192,1982-05-10,QK681943,997,EXECUTIVE_CLUB,303153
Luara,Vieira,luara.vieira108@icloud.com,+55 (071) 0986 0681,1981-01-05,UG825743,861,EXECUTIVE_CLUB,383358
Ana,das Neves,ana.dasneves109@hotmail.com,(011) 6117-7294,1969-08-10,CV312123,343,,73307
Luan,Abreu,luan.abreu110@outlook.com.br,(071) 0805-8582,2000-11-20,ZY365823,411,TUDO_AZUL,361873
Alana,Rocha,alana.rocha111@gmail.com,0900-779-5724,1957-10-08,IO142795,191,LATAM_PASS,354499
Anthony Gabriel,Andrade,anthonygabriel.andrade112@uol.com.br,+55 (081) 1518-6175,1944-06-01,PZ570399,60,TUDO_AZUL,173699
Luara,Cavalcanti,luara.cavalcanti113@yahoo.com.br,(041) 9476 4194,1987-02-14,GR925395,717,MILES_AND_GO,356306
Cecilia,Montenegro,cecilia.montenegro114@uol.com.br,21 1990 1026,1952-09-30,NX708880,510,,236589
Ravi,Cunha,ravi.cunha115@bol.com.br,0900-227-7708,2003-11-11,SD989005,995,SMILES,313461
Beatriz,Oliveira,beatriz.oliveira116@bol.com.br,+55 (041) 6823-9554,1998-04-15,TF793776,990,TUDO_AZUL,446133
Miguel,Sales,miguel.sales117@bol.com.br,61 2138-0115,1957-11-05,AR731251,404,ASIA_MILES,191053
Camila,Mendes,camila.mendes118@outlook.com.br,+55 84 1513-9855,1981-05-22,QZ862557,166,,190636
Theo,Castro,theo.castro119@uol.com.br,21 0839 7317,1972-06-10,CP838130,289,ASIA_MILES,54892
Antonella,Cavalcante,antonella.cavalcante120@terra.com.br,+55 21 2434-2139,1950-08-09,IL483426,585,,492412
Cecília,Sousa,cecília.sousa121@live.com,0500 656 2807,1994-04-16,FL300527,756,SKYWARDS,218458
Miguel,Câmara,miguel.câmara122@terra.com.br,+55 (021) 6455 8048,1941-09-18,AK667531,743,,51875
Luigi,Pimenta,luigi.pimenta123@bol.com.br,(071) 8286-2558,1943-04-04,DS429541,142,MILES_AND_GO,379481
Lunna,Souza,lunna.souza124@yahoo.com.br,+55 (071) 7062-5873,1979-08-27,ND349309,503,,230149
Gabrielly,Almeida,gabrielly.almeida125@icloud.com,31 5822 6231,1944-07-15,KH412674,188,SKYWARDS,184412
Julia,Marques,julia.marques126@terra.com.br,+55 (031) 1153 2703,1998-03-17,TY186681,152,AADVANTAGE,415927
Ana Clara,Vargas,anaclara.vargas127@hotmail.com,(011) 7756 8863,1996-11-11,HW497968,547,AADVANTAGE,286898
Mariah,Borges,mariah.borges128@uol.com.br,(031) 9987-0805,2007-08-09,NV380771,829,MILES_AND_GO,100916
Theo,Montenegro,theo.montenegro129@yahoo.com.br,0800 812 2396,1977-02-21,DD380709,835,AADVANTAGE,414999
Bianca,Machado,bianca.machado130@terra.com.br,+55 (071) 7644-5125,1997-12-04,YT328880,591,,74480
Hadassa,Cassiano,hadassa.cassiano131@yahoo.com.br,+55 (021) 8346 4429,1950-11-05,WV160967,786,,454298
Helena,Campos,helena.campos132@uol.com.br,+55 (081) 7186 0699,1975-08-29,PP164928,541,,103240
Nathan,Pereira,nathan.pereira133@bol.com.br,+55 11 0683 8292,1963-07-20,TL981419,672,SKYWARDS,3143
Diego,Garcia,diego.garcia134@yahoo.com.br,0800 860 4278,2006-09-22,NH438319,100,MILEAGE_PLUS,15198
Evelyn,Sampaio,evelyn.sampaio135@live.com,+55 51 0363 0569,1994-07-09,TQ426011,765,LATAM_PASS,333769
Brenda,Rezende,brenda.rezende136@outlook.com.br,+55 (051) 5096-9412,2002-07-18,IL823971,260,EXECUTIVE_CLUB,99278
Paulo,Dias,paulo.dias137@yahoo.com.br,51 8990 8886,1977-08-26,BX306790,553,MILEAGE_PLUS,32365
Bento,Moura,bento.moura138@hotmail.com,+55 (011) 7149 2360,1946-08-31,XN440277,720,AADVANTAGE,45915
Samuel,Vasconcelos,samuel.vasconcelos139@outlook.com.br,+55 (041) 8588 4443,1975-03-21,ER222880,135,LATAM_PASS,276702
Mariah,Carvalho,mariah.carvalho140@hotmail.com,+55 (081) 2677-6383,1997-08-11,IB610200,398,MILEAGE_PLUS,259409
Diogo,Silva,diogo.silva141@hotmail.com,21 0438-4309,1986-12-18,HW697395,33,SKYWARDS,299825
Maria Isis,Nunes,mariaisis.nunes142@live.com,41 8421 8180,1962-11-03,AO673868,914,TUDO_AZUL,160062
Davi Lucca,Moura,davilucca.moura143@live.com,(061) 2913-1126,1959-06-05,HG521108,991,LATAM_PASS,478510
Eduarda,Pinto,eduarda.pinto144@live.com,51 0302 3121,1961-06-17,MA871744,436,,481397
Mariana,Moura,mariana.moura145@hotmail.com,+55 (031) 4232 7588,1970-11-22,GB283171,371,EXECUTIVE_CLUB,426507
Francisco,Barros,francisco.barros146@icloud.com,0800-206-3041,1962-01-09,HM884016,736,MILEAGE_PLUS,414449
Giovanna,Ferreira,giovanna.ferreira147@yahoo.com.br,(051) 2618-9109,1999-04-26,RE805329,292,SMILES,202347
Catarina,Câmara,catarina.câmara148@hotmail.com,+55 (061) 0179 2513,2003-12-29,YG874559,531,,121371
Isabella,Porto,isabella.porto149@yahoo.com.br,+55 (071) 8013-7020,1951-01-16,JX555345,988,MILEAGE_PLUS,34740
Fernando,Peixoto,fernando.peixoto150@bol.com.br,+55 11 4696 1360,1940-10-02,DP400556,946,ASIA_MILES,439137
Maria Flor,Monteiro,mariaflor.monteiro151@yahoo.com.br,(084) 2045-0980,2001-04-16,LH650828,930,FLYING_BLUE,211741
Luara,Sousa,luara.sousa152@uol.com.br,(084) 3335 0162,1987-05-15,OS648415,980,ASIA_MILES,236431
Laura,Cardoso,laura.cardoso153@terra.com.br,+55 (084) 0494 6173,2006-09-17,UN417561,291,MILES_AND_GO,120972
Brayan,Fonseca,brayan.fonseca154@hotmail.com,(081) 1332 0967,1995-07-21,CW274157,321,SKYWARDS,256277
Nathan,Araújo,nathan.araújo155@yahoo.com.br,+55 (011) 7413 5966,1960-05-21,VL499066,19,EXECUTIVE_CLUB,12155
Bárbara,da Costa,bárbara.dacosta156@uol.com.br,+55 (071) 3638 5743,1978-10-06,AO747480,230,,246402
Pedro Miguel,Pereira,pedromiguel.pereira157@hotmail.com,(051) 8000 8416,1980-06-08,MF289705,291,LATAM_PASS,161103
João Miguel,Rodrigues,joãomiguel.rodrigues158@outlook.com.br,21 0146 8314,1973-08-21,UC748013,552,,55133
Heloísa,Fonseca,heloísa.fonseca159@gmail.com,+55 (031) 3945 5846,2006-02-04,XB913100,925,TUDO_AZUL,164851
Alícia,Ramos,alícia.ramos160@yahoo.com.br,+55 41 8190 2320,1944-05-30,AP920318,549,,168061
Gabriel,Garcia,gabriel.garcia161@terra.com.br,0300-889-0609,1947-07-30,GO325277,730,,331944
Henry Gabriel,Mendonça,henrygabriel.mendonça162@terra.com.br,(051) 5192-6775,1942-08-15,HK105025,979,,469187
Asafe,da Mota,asafe.damota163@outlook.com.br,61 2284 3965,1946-10-29,FY113311,443,FLYING_BLUE,378998
Laís,Nascimento,laís.nascimento164@icloud.com,11 2020-4871,1997-01-05,XV260675,854,MILES_AND_GO,351332
Bento,da Conceição,bento.daconceição165@outlook.com.br,(081) 3476 4144,1993-09-14,RZ238108,940,FLYING_BLUE,277294
João Pedro,Silveira,joãopedro.silveira166@live.com,0800 745 3145,1948-03-31,DI536173,612,MILEAGE_PLUS,405745
Emilly,Fogaça,emilly.fogaça167@gmail.com,84 0029-0695,2005-07-23,PM592184,82,SKYWARDS,297661
Ana Laura,Melo,analaura.melo168@uol.com.br,(051) 6427 2943,2006-09-10,QH678341,407,SKYWARDS,288954
Júlia,Pires,júlia.pires169@hotmail.com,0800-098-2450,1943-01-04,RZ595675,534,,431629
Rebeca,Camargo,rebeca.camargo170@bol.com.br,(021) 4702-3607,1988-09-20,UQ813401,660,FLYING_BLUE,370289
Ana Carolina,Camargo,anacarolina.camargo171@live.com,(011) 0225-2553,1944-06-14,YY305543,519,LATAM_PASS,442605
Enrico,Correia,enrico.correia172@bol.com.br,+55 31 7622 8095,1990-12-25,ES379605,385,AADVANTAGE,470703
Ana Clara,Azevedo,anaclara.azevedo173@live.com,+55 81 0163-7905,1965-08-06,PN792706,36,,427049
Ísis,da Mata,ísis.damata174@icloud.com,81 1739-3396,1951-08-19,EI719424,98,TUDO_AZUL,469568
Gustavo,Alves,gustavo.alves175@icloud.com,0800 656 1206,1951-07-23,JN693402,988,SMILES,85766
Alice,Gomes,alice.gomes176@bol.com.br,81 7647 8562,1989-06-22,LT793618,391,,280387
Bianca,Aragão,bianca.aragão177@icloud.com,11 0143 9992,1958-03-20,CN546349,310,SMILES,42324
Eduarda,Martins,eduarda.martins178@gmail.com,0800 928 6102,2000-05-07,PI674309,601,SMILES,481705
Raquel,Ferreira,raquel.ferreira179@terra.com.br,+55 51 4382 5520,1992-06-16,SW143085,119,,114775
Thales,Cirino,thales.cirino180@icloud.com,81 5918 1980,1992-03-22,AV293358,959,EXECUTIVE_CLUB,253845
Cecília,Cirino,cecília.cirino181@icloud.com,+55 (084) 9053-0673,1998-09-09,WQ337119,944,MILES_AND_GO,84378
Arthur,Siqueira,arthur.siqueira182@icloud.com,+55 (071) 3884 0167,1955-09-24,UB938188,437,,345123
Maria Fernanda,Vieira,mariafernanda.vieira183@outlook.com.br,+55 (011) 1910-5071,1980-09-26,OW190884,315,MILEAGE_PLUS,457178
Maria Cecília,Andrade,mariacecília.andrade184@terra.com.br,(084) 4454-0691,2006-12-29,YW603201,642,SMILES,100728
Ana Luiza,da Cruz,analuiza.dacruz185@icloud.com,(021) 7384-3155,1971-05-11,YC239250,524,MILEAGE_PLUS,402373
Júlia,Monteiro,júlia.monteiro186@outlook.com.br,(051) 9792 9626,1981-10-24,TZ188791,704,MILES_AND_GO,391407
Rafael,Cavalcante,rafael.cavalcante187@live.com,+55 (041) 4370-3919,1955-04-15,ED393404,951,FLYING_BLUE,384531
Bruno,Duarte,bruno.duarte188@outlook.com.br,(061) 1413 4307,1968-01-06,KF462524,186,,268547
Isabella,Moreira,isabella.moreira189@uol.com.br,0500 876 8160,1950-08-26,JH851064,551,MILEAGE_PLUS,102350
Daniela,Silveira,daniela.silveira190@hotmail.com,+55 51 7024 2363,1980-02-04,FE275202,982,LATAM_PASS,252657
Luísa,da Cunha,luísa.dacunha191@uol.com.br,+55 51 8013 1843,1971-11-23,BV466222,984,SMILES,231795
Alícia,Barbosa,alícia.barbosa192@uol.com.br,(081) 1682-6111,1963-11-11,KO866155,567,SMILES,139947
Allana,Martins,allana.martins193@outlook.com.br,+55 (041) 0734-7873,2003-05-20,PS774551,901,ASIA_MILES,142146
Catarina,das Neves,catarina.dasneves194@hotmail.com,(061) 5647 3116,1959-07-07,CF913963,387,SKYWARDS,66984
Olivia,Nascimento,olivia.nascimento195@terra.com.br,+55 (051) 6637-0088,1980-09-26,RQ560147,581,FLYING_BLUE,27059
Vitor Gabriel,Câmara,vitorgabriel.câmara196@icloud.com,+55 (061) 1485 7816,1953-08-24,LX347356,147,MILEAGE_PLUS,406427
Evelyn,Lopes,evelyn.lopes197@gmail.com,51 0418 9024,1975-09-29,QY503482,425,FLYING_BLUE,313072
Alice,Guerra,alice.guerra198@yahoo.com.br,51 2617 3460,1978-03-29,BD534532,529,,202497
Zoe,Marques,zoe.marques199@uol.com.br,(021) 3149-3181,1992-06-01,WD670125,103,,140120
Mateus,Machado,mateus.machado200@yahoo.com.br,+55 (021) 9380-4503,1992-05-08,OM983487,142,TUDO_AZUL,88089
André,Vasconcelos,andré.vasconcelos201@icloud.com,+55 31 4911-6476,1993-12-25,CI900915,908,FLYING_BLUE,352897
Thomas,Pacheco,thomas.pacheco202@yahoo.com.br,(081) 3868-1337,1989-10-12,CD872930,917,ASIA_MILES,187675
João,Sampaio,joão.sampaio203@yahoo.com.br,(084) 8181-5539,1983-09-05,EN926613,407,AADVANTAGE,98338
Léo,Fonseca,léo.fonseca204@icloud.com,+55 51 0213 6716,1976-10-27,GA511448,838,FLYING_BLUE,453141
Cauã,Rezende,cauã.rezende205@uol.com.br,21 4178-7602,1957-01-18,OY329566,635,,169321
Nina,Monteiro,nina.monteiro206@bol.com.br,+55 (021) 7264 8810,1981-02-07,JI599149,763,AADVANTAGE,186127
Camila,Sales,camila.sales207@gmail.com,0900 167 8128,1957-04-23,NQ804149,141,AADVANTAGE,446464
Nina,Rios,nina.rios208@uol.com.br,0800-398-5930,1970-08-26,IF591177,687,FLYING_BLUE,455178
Leonardo,Vieira,leonardo.vieira209@yahoo.com.br,(041) 8146-9539,1993-12-26,DR898608,343,,164243
Anna Liz,da Cruz,annaliz.dacruz210@outlook.com.br,41 2320-7248,1980-07-29,CN658951,688,FLYING_BLUE,255185
Kamilly,Brito,kamilly.brito211@hotmail.com,(021) 2306-7801,1963-08-09,BA166719,827,EXECUTIVE_CLUB,143254
Alana,Gomes,alana.gomes212@live.com,+55 21 4128 0447,1942-12-19,RI475011,441,SKYWARDS,492253
Gustavo Henrique,Castro,gustavohenrique.castro213@gmail.com,84 3624-8748,2007-08-08,UQ826615,37,MILES_AND_GO,193672
Bella,Guerra,bella.guerra214@yahoo.com.br,(041) 8861-7327,1954-12-27,MO873949,435,LATAM_PASS,38763
Maria Clara,Jesus,mariaclara.jesus215@gmail.com,84 3951 3689,1988-04-17,LN398397,900,SMILES,166133
Carlos Eduardo,Lima,carloseduardo.lima216@terra.com.br,(071) 4169-8436,1992-12-30,RP322016,319,TUDO_AZUL,85080
Jade,Santos,jade.santos217@uol.com.br,+55 51 7561 8453,1986-05-21,WF476785,958,MILES_AND_GO,280626
Caroline,Mendes,caroline.mendes218@live.com,11 8592-9458,1973-03-13,MD802422,543,LATAM_PASS,233409
Ravi Lucca,Jesus,ravilucca.jesus219@hotmail.com,31 3744-8923,1976-11-16,YH227611,258,MILES_AND_GO,27049
Gabriela,Andrade,gabriela.andrade220@bol.com.br,+55 81 4502-5670,1949-04-21,TY136670,746,TUDO_AZUL,26305
Leonardo,Campos,leonardo.campos221@live.com,41 2959-8816,1995-09-05,MQ179979,567,MILES_AND_GO,224321
